codigo,marca,tipo,categoria,preco_unitario,custo,obs
MOLO000251,Logitech,Mouse,1,25.95,6.5,
MOLO000192,Logitech,Mouse,2,19.95,5,
CAHA000251,Hashtag,Camisa,1,25,11,
CAHA000252,Hashtag,Camisa,2,25,11,Conferir estoque
MOMU000111,Multilaser,Mouse,1,11.99,3.4,
BOHA000251,Hashtag,Bone,1,25,11,
BOHA000252,Hashtag,Bone,2,25,11,
CAHA000273,Hashtag,Camisa,3,27.5,12.4,Troca de fornecedor
CAHA000274,Hashtag,Camisa,4,27.5,12.4,
CAHA000275,Hashtag,Camisa,5,27.5,12.4,
TELG000821,LG,Televisao,1,820,172.2,
TELG000252,LG,Televisao,2,250,62.5,
TELG000373,LG,Televisao,3,378,83.2,
TELG000524,LG,Televisao,4,520,145.6,
TESA000125,Samsung,Televisao,5,1260,378,
TESA000346,Samsung,Televisao,6,340,71.4,
TESA000747,Samsung,Televisao,7,740,214.6,
TESA000108,Samsung,Televisao,8,10000,3000,
TESA000729,Samsung,Televisao,9,720,201.6,
TESA0002010,Samsung,Televisao,10,2000,440,
TEAO0002511,AOC,Televisao,11,250,62.5,
TEAO0003612,AOC,Televisao,12,360,97.2,
TETO0006413,Toshiba,Televisao,13,640,185.6,
TETO0008014,Toshiba,Televisao,14,800,192,
TETO0006015,Toshiba,Televisao,15,600,144,
TESE0005016,SEMP,Televisao,16,500,125,
TESE0003817,SEMP,Televisao,17,380,91.2,
TESE0005018,SEMP,Televisao,18,500,140,
TEPH0004019,Philco,Televisao,19,400,120,
TEPH0002720,Philco,Televisao,20,279.8,56,
TETC0001521,TCL,Televisao,21,158,36.3,
TETC0002222,TCL,Televisao,22,220,59.4,
REGA000441,Garmin,Relogio,1,440,96.8,
REGA000722,Garmin,Relogio,2,720,187.2,
REXI000463,Xiaomi,Relogio,3,46.4,11.6,
REXI000744,Xiaomi,Relogio,4,74,15.5,
REXI000365,Xiaomi,Relogio,5,36,7.9,
REXI000116,Xiaomi,Relogio,6,114,23.9,
RESA000287,Samsung,Relogio,7,280,72.8,
RESA000298,Samsung,Relogio,8,290,72.5,
RESA000389,Samsung,Relogio,9,380,110.2,
RESA0003210,Samsung,Relogio,10,320,83.2,
CEAP000101,Apple,Celular,1,1099,329.7,
CEAP000112,Apple,Celular,2,1199,287.8,
CEAP000133,Apple,Celular,3,1399,377.7,
CEAP000154,Apple,Celular,4,1599,367.8,
CEAP000995,Apple,Celular,5,999,269.7,
CEAP000106,Apple,Celular,6,1099,329.7,
CEAP000127,Apple,Celular,7,1299,298.8,
CEAP000148,Apple,Celular,8,1499,329.8,
